date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:51	2305/2305	---MC-	200	added ('OK')	application/json	date:Tue,%2030%20May%202023%2020:57:50%20GMT	https://www.inarco.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.inarco.com.pe%2Finmobiliaria%2F	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-json/oembed/1.0/embed1693.json	(from https://www.inarco.com.pe/inmobiliaria/)
15:57:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20May%202023%2020:57:51%20GMT	https://www.inarco.com.pe/?p=159	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/indexb950.html	(from https://www.inarco.com.pe/inmobiliaria/)
15:57:52	2379/2379	---MC-	200	added ('OK')	text/xml	date:Tue,%2030%20May%202023%2020:57:51%20GMT	https://www.inarco.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.inarco.com.pe%2Finmobiliaria%2F&format=xml	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-json/oembed/1.0/embed9d98	(from https://www.inarco.com.pe/inmobiliaria/)
15:57:52	110692/110692	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Jan%202019%2016:13:47%20GMT	https://www.inarco.com.pe/wp-content/uploads/2019/01/header-inmobiliaria1.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2019/01/header-inmobiliaria1.jpg	(from https://www.inarco.com.pe/inmobiliaria/)
15:57:52	33008/33008	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:07:34%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/torre-novus.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/torre-novus.jpg	(from https://www.inarco.com.pe/inmobiliaria/)
15:57:53	23512/23512	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:08:46%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/vitalia2.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/vitalia2.jpg	(from https://www.inarco.com.pe/inmobiliaria/)
15:57:53	48738/48738	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2021:58:55%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/condominio-paseo-san-martin.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/condominio-paseo-san-martin.jpg	(from https://www.inarco.com.pe/inmobiliaria/)
15:57:53	51670/51670	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Jan%202019%2016:36:00%20GMT	https://www.inarco.com.pe/wp-content/uploads/2019/01/san-martin_inmobiliaria.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2019/01/san-martin_inmobiliaria.jpg	(from https://www.inarco.com.pe/inmobiliaria/)
15:57:54	44994/44994	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Jan%202019%2016:37:53%20GMT	https://www.inarco.com.pe/wp-content/uploads/2019/01/varela_inmobiliaria.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2019/01/varela_inmobiliaria.jpg	(from https://www.inarco.com.pe/inmobiliaria/)
15:57:54	127159/127159	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Mar%202021%2016:52:46%20GMT	https://www.inarco.com.pe/wp-content/uploads/2021/03/dos76jpg.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2021/03/dos76jpg.jpg	(from https://www.inarco.com.pe/inmobiliaria/)
15:57:54	156649/156649	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Mar%202021%2019:49:32%20GMT	https://www.inarco.com.pe/wp-content/uploads/2021/03/proyecto-dos60.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2021/03/proyecto-dos60.jpg	(from https://www.inarco.com.pe/inmobiliaria/)
15:57:55	1996/1996	---MC-	200	added ('OK')	application/json	date:Tue,%2030%20May%202023%2020:57:54%20GMT	https://www.inarco.com.pe/wp-json/wp/v2/pages/181	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-json/wp/v2/pages/181.json	(from https://www.inarco.com.pe/proyectos-en-venta/)
15:57:56	2335/2335	---MC-	200	added ('OK')	application/json	date:Tue,%2030%20May%202023%2020:57:55%20GMT	https://www.inarco.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.inarco.com.pe%2Fproyectos-en-venta%2F	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-json/oembed/1.0/embed3eca.json	(from https://www.inarco.com.pe/proyectos-en-venta/)
15:57:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20May%202023%2020:57:55%20GMT	https://www.inarco.com.pe/?p=181	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/index7c2c.html	(from https://www.inarco.com.pe/proyectos-en-venta/)
15:57:56	2409/2409	---MC-	200	added ('OK')	text/xml	date:Tue,%2030%20May%202023%2020:57:56%20GMT	https://www.inarco.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.inarco.com.pe%2Fproyectos-en-venta%2F&format=xml	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-json/oembed/1.0/embed1335	(from https://www.inarco.com.pe/proyectos-en-venta/)
15:57:57	232328/232328	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:06:12%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/proyectos-en-venta-1.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/proyectos-en-venta-1.jpg	(from https://www.inarco.com.pe/proyectos-en-venta/)
